26-03-11--08-13-30

comment=Configuration file for Kemeny Transformer training (Corrected and Flattened)
dim_input=10
dim_emb=128
dim_ff=512
numb_heads=8
numb_layers_decoder=3
numb_layers_encoder=2
max_len_PE=1000
conv_out_channels=64
batchnorm=True
embedding_type=linear
lr=0.0001
nb_epochs=1000
nb_batch_per_epoch=250
bsz=512
baseline_alpha=0.05
roll_out_bsz=2048
num_voters_range=[6, 10]
num_items_range=[90, 110]
phi_range=[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.92, 0.94, 0.96, 0.98, 1.0]
data_generation_method=fine_tuning_mix
sample_voters_from_range=True
sample_items_from_range=True
normalize_input=True
original_validation_data=True
checkpoint_file=checkpoint_epoch_400.pkl
checkpoint_dir=kemeny_transformer_checkpoint/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
save_every=5
validation_data_dir=validate_dataset
roll_out_log_dir=roll_out_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
validate_log_dir=validate_logs/various_input_kemeny_transformer/linear_embedding/700k_various_voters_various_items_mix_batch_3_encoder_2_decoder_kemeny_transformer_without_guide
gpu_id=0,1


Epoch: 509, epoch time: 10.23min, tot time: 4.28day, kemeny_dis_train: 1443.079223, kemeny_dis_base: 1442.857344, update: False, training_phase: 2
Epoch: 510, epoch time: 10.24min, tot time: 4.29day, kemeny_dis_train: 1428.499184, kemeny_dis_base: 1428.262919, update: False, training_phase: 2
Epoch: 511, epoch time: 10.29min, tot time: 4.29day, kemeny_dis_train: 1447.849693, kemeny_dis_base: 1447.054390, update: False, training_phase: 2
Epoch: 512, epoch time: 10.31min, tot time: 4.30day, kemeny_dis_train: 1425.502410, kemeny_dis_base: 1425.121565, update: False, training_phase: 2
Epoch: 513, epoch time: 10.24min, tot time: 4.31day, kemeny_dis_train: 1439.359038, kemeny_dis_base: 1439.353473, update: False, training_phase: 2
Epoch: 514, epoch time: 10.33min, tot time: 4.32day, kemeny_dis_train: 1418.244212, kemeny_dis_base: 1418.234151, update: False, training_phase: 2
Epoch: 515, epoch time: 10.30min, tot time: 4.32day, kemeny_dis_train: 1433.388083, kemeny_dis_base: 1433.231939, update: False, training_phase: 2
Epoch: 516, epoch time: 10.30min, tot time: 4.33day, kemeny_dis_train: 1428.524027, kemeny_dis_base: 1428.380114, update: False, training_phase: 2
Epoch: 517, epoch time: 10.28min, tot time: 4.34day, kemeny_dis_train: 1437.361049, kemeny_dis_base: 1437.521446, update: True, training_phase: 2
Epoch: 518, epoch time: 10.30min, tot time: 4.34day, kemeny_dis_train: 1409.879839, kemeny_dis_base: 1409.962548, update: True, training_phase: 2
Epoch: 519, epoch time: 10.21min, tot time: 4.35day, kemeny_dis_train: 1439.498462, kemeny_dis_base: 1439.494867, update: False, training_phase: 2
